,Project Name,Category,Status,Priority,Location,Next Actions,Dependencies,Tech Stack,Documentation Status,Last Updated,Résumé_Détaillé
332,Llm Collection Catalog,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
333,Wp Harmony Manager,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
334,Fixierun Rewards Cycling,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
335,Llm Comparo Analytics 16,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
336,Bike Highlight Animator,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
337,Taishi Xp,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @yrxRTWSPJWWWqe9l8pcTIKAwzW92
338,Kharmigo Vibes,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @karmigojones
339,Pickmybrain,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @anandvijayaragav
340,Prompt Enhancer Grove,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @mr4zCt05mleEJETsn7ru8iSMpLy2
341,Sunmoon Tracker,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @gCPHxuzfAvXDhociQqFRvqR6Lmi2
342,M 4890,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @JpAL4iK9SefUnkAP6kc681lDPgl1
343,Myroom 2024,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @6bhYo80TmcOp3ZtlrbUmT3gHCgm1
344,Shape Dance Party,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @ivansi
345,Draw To 3D,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @kzolozhkov
346,Habitflow,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @wgqlmOLsgdQGRRVHK6z1IL2RWVa2
347,Speech To Lovable,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @psykhi
348,Ai Debate,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @unrrWktDdPc1qu2JnAyI914IKLk1
349,Retro Bounce Scorekeeper,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @zJQ04tL9YKTWmAD9PaqWcFfS6vv1
350,Three Doomscape,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @psykhi
351,Chill Guy Meme Creator 2,Tools,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @p9gXiEmTCWf0NZIENH8cJRxq7sz1
352,Fleetvision Dashboard,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @vyhSSF3xvbXFtGadyuYSGQMcdUs2
353,Cryptocurrency Trading Dashboard,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @henrik
354,Pdf,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @niklasvatn
355,Wiktok,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @psykhi
356,Billify Generator,Tools,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @uh1IcIbG3nMt8Ym2R8ib11ArRgr1
357,Idea2Prompt,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @henrik
358,30Daysoflovable,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @psykhi
359,Claudegpt,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @henrik
360,Project Dashboard Gleam,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
361,Harmonic Wave Engine,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
362,Beat Craft Studio,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
363,Mixmaster Harmony,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
364,Vinyl Wave Engine,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
365,Audio Mix Symphony,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
366,Mixmaster Innovate,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
367,Vinyl Mix Lab,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: about 2 months ago
368,Wordsmith Wizard,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
369,Wp Deployment Maestro,DevOps,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
370,Friendly Bot Squad,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
371,C 2530,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
372,M 1574,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
373,Chatbot Backend Hub,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
374,Web3 Interaction Hub,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
375,Meta Prompt Squads,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 2 months ago
376,Playful Web Interface,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
377,Ai Dapp Factory,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
378,Likeable,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @henrik
379,Ai Website Redesigner,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @henrik
380,Bill Splitter Jy,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @4jqj7i7solVQAqZlbhzRW2RIsZ42
381,Physics Simulator Playground,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @antonosika
382,Dark Tetris Dreamscape 80,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @Pftl26OUFYd5eHbDsG6SWHfnjM62
383,Qr Code Generator,Tools,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @psykhi
384,Gradient Magic Tool,Tools,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @blixt
385,Clientlark Portal,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @antonosika
386,Story Hunter,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @kristian
387,Revenue Cost Visualizer,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @antonosika
388,Crypto Glance Haven,Web3/Blockchain,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @kristian
389,Mondrian Paint,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @nad
390,Modern Crypto Explorer,Web3/Blockchain,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: @katrin
391,Dapp Creator Assistant,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
392,Futuristic Landing Fusion,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
393,Cost Clone Creator,Tools,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
394,Chatbot Squadron,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
395,S 4386,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from Lovable. Last activity: 3 months ago
396,Générateur d'Opportunités Business en Ligne,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 17 hours ago
397,LLM Comparator,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 day ago
398,Générateur de Patron de Couture/Broderie,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 day ago
399,Beauty Product Reviews - Expert Analysis & Trusted Recommendations,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 days ago
400,FixieRun - Earn NFTs While Running,Web3/Blockchain,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 days ago
401,FixieRun-web3-zkEVM,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 days ago
402,Artificielle Intelligence Hub,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 6 days ago
403,AI Code Generator,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 6 days ago
404,DevStudio Pro Dashboard,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
405,HTML Site Analysis Report,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
406,RhymeChain - French Hip-Hop NFT Card Game,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
407,FixieRun - Revolutionizing Fitness with Scroll zkEVM,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
408,Rapport d'Analyse de Sites HTML - Perspectives Approfondies,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
409,RhymeChain - Jeu de Cartes NFT Hip-Hop Français | Blockchain Gaming,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
410,Activity Report,Analytics,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
411,Aut0-P0st - L'IA qui multiplie votre audience sociale sans effort,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 week ago
412,FixieRun Squads,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 weeks ago
413,RhymeChain: Hip-Hop Meets Blockchain Gaming,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 weeks ago
414,Project Gallery,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 weeks ago
415,Modern React Starter Template,Infrastructure,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 weeks ago
416,AIFTW - Chatbots,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
417,AIFTW - Accelerating Innovation,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
418,Chatbots Page,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
419,FIXIE Token Economy,Web3/Blockchain,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
420,DreamTech AI - All Tools,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
421,Interactive Playground,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
422,Guide d'Installation du Serveur Poe,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 1 month ago
423,Enhanced Style,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
424,Dashboard | AIFTW,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
425,Fixie.run Lite Paper,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
426,Lovable Projects Dashboard,Web Application,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
427,Fitness Counter Hub,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
428,FixieRun - The Future of Fitness Gaming,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
429,Micro-SaaS 2025,SaaS,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
430,Outils d'Analyse SEO et Marketing Digital,SEO,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 2 months ago
431,Base Href Explanation,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 months ago
432,BikePark Mobile,Other,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 months ago
433,Structure Technique des Outils AI,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 months ago
434,AI-Powered Chatbots for Your Business,AI/ML,Active,Medium,,,,,In Progress,2025-03,Project imported from WebSim. Last activity: 3 months ago
